conditionCode,conditionName,applicable_gender,pediatric_assessment,presentingComplaint1,presentingComplaint2,presentingComplaint3,presentingComplaint4,presentingComplaint5,presentingComplaint6,presentingPart1,presentingPart2,presentingPart3,presentingPart4,presentingPart5,presentingPart6,assessmentQuery1,assessmentQuery2,assessmentQuery3,assessmentQuery4,assessmentQuery5,assessmentQuery6,assessmentQuery7,assessmentQuery8,source,auxilliaryQuery1,auxilliaryQuery2,auxilliaryQuery3,prevalence_DecisionWeight
C271,Hypothyroidism,All,FALSE,weakness ,weight gain,cold intolerance ,constipation ,Menstrual irregularities ,,Metabolic system ,skin,GIT,Cvs,skin ,,Have you experienced unexplained weight gain or difficulty losing weight?,"Do you often feel  tired, even after taking rest?","Have you noticed any changes in your skin or hair, such as dryness or hair loss?",Do you have intolerance to cold temperatures?,Have you experienced constipation or changes in bowel habits?,Have you noticed any changes in your menstrual cycle or reproductive health?,has someone else in your family experienced such symptoms?,"Have you experienced any other symptoms, such as muscle weakness, depression, or memory problems?",,,,,
C272,Hyperthyroidism,All,FALSE,Unintentional weight loss,Rapid heart beat,heat intolerance or excessive sweating ,shaking hands(tremors),weakness ,,CVS ,CNS,GIT,skin,metabolic system ,,Have you experienced unexplained weight loss despite increased hunger.,Do you often feel nervous or anxious?,Have you noticed any changes in your heartbeat or palpitations?,Do you have intolerance to heat or increased sweating?,Have you experienced tremors or shaking hands?,Do you have difficulty sleeping ?,"Have you noticed any changes in your bowel habits, such as increased frequency?",Do you have a family history of thyroid disorders,,,,,
C273,Huntington's Disease/chorea,All,FALSE,Random movements of fingers and toes,Memory loss,Depression or anxiety ,Changes in Behaviour ,Difficulty with balance ,,Basal ganglia,Cortex,Thalamus,Subcortical structures,White matter tracts,,When did your symptoms begin?,Does someone else in your family has similar symptoms?,Have you experienced difficulties while walking or talking?,Are you able to perform all daily activities without anyone's help?,Have you noticed any changes in your mood,Are you experiencing any changes in thinking abilities?,Has your performance at work/School decreased?,Have you noticed changes in the way you speak?,,,,,
C274,Parkinson's Disease ,All,FALSE,Shaking of hands/Legs at Rest,Slowing of movements,Stiffness of arms/legs,Balance problems, Depression or Anxiety ,,Central Nervous System,Musculoskeletal System,Psychiatric Manifestations,Sensory system ,NIL,,When did your symptoms begin?,"Are there any changes in your handwriting, such as it becoming smaller?",Have you experienced any changes in your sense of smell?,Have you noticed any problems with memory or thinking?,Have you noticed any stiffness or rigidity in your arms/legs or back?,Do you have any difficulty speaking or swallowing?,Does your partner complain of your voice being too low?,Do your friends/Family complain about your mood or facial expressions?,,,,,
C275,FTD (bvFTD)(Behavioural Frontotemporal Dementia),All,FALSE,Changes in Behavior,Difficulty in speaking ,Memory Loss,Neglecting yourself,word-finding problems,,Brain,CNS,Frontal Lobe,Limbic System,Basal Ganglia,,When did your symptoms start?,"Are you experiencing any difficulties with language, such as trouble finding words or forming sentences?",Have you noticed any decline in your memory or ability to remember things?,Are you having trouble recognizing familiar people or objects?,"Are you experiencing any emotional changes, like mood swings?",Have there been any changes in your ability to plan and carry out tasks?,Are you able to perform all daily activities without anyone's help?,Does anyone in the family have similar symptom of illness?,,,,,
C276,Cholecystitis,All,FALSE,Pain upper abdomen.,Fever or Chill,Swelling at abdomen,Right shoulder pain ,Nausea/Vomiting ,,Abdomen ,Shoulder ,Back,Bile Duct,Epigastrium ,,When did your symptoms begin?,Is the pain very much and increase and decreases with time ,Have you noticed any yellowing of your skin or eyes?,Have you had any previous episodes of pain in the stomach region?,"Have you had any changes in passing stools, particularly clay-colored stools?",Do you consume a high fat foods or are you overweight?,Have you recently eaten a large or fatty meal?,Do you experience any relief from pain when changing positions?,,,,,
C277,Cirrhosis,All,FALSE,Swelling of whole abdomen ,Weight loss/gain,weakness or fatigue ,abdominal pain,yellowing of skin or eyes,,Abdominal Region ,Liver ,Lower limbs ,Palms ,NIL,,Have you been diagnosed with any liver disease before?,"Do you consume alcohol, and if so, how much and how often?",Have you ever had hepatitis B or C?,Have you noticed any changes in your appetite or weight loss?,Do you bruise easily or have nosebleeds frequently?,"Have you been experiencing any gastrointestinal symptoms such as nausea, vomiting, or changes in bowel habits?",Have you noticed any changes in your mental alertness or memory?,NIL ,,,,,
C278,Coeliac Disease,All,FALSE,"Fatty, Foul-smelling stools",Abdominal pain or Gas,weight loss ,weakness and fatigue ,Failure to thrive (in children),,"small intestine,",skin,Mouth ,joints,NIL ,,When did your symptoms begin?,"Do you have stomach pain or gas after eating  foods like bread ,cake etc ",Have you noticed unexplained weight loss or failure to gain weight (in children)?,"Do you experience fatigue or weakness, especially after meals?","Have you noticed any skin rashes  particularly after consuming bread,cake etc?",Does anyone else in the family have such symptoms?,Have you tried avoiding such foods?is yes did it improve your symptoms?,Have you been diagnosed with Anemia or any other nutrition deficiency disorder?,,,,,
C279,Constipation,All,FALSE,Infrequent Passing of stools,Hard or lumpy stools,difficulty passing stools,Abdominal discomfort,excessive straining ,,Lower abdomen ,rectum,anus ,NIL,NIL,,When did your symptoms begin?,"How often do you go to toilet, and has this frequency changed recently?",Have you experienced any stomach pain or Gas?,Do you consume enough water and fresh fruits and vegetables?,Have you had any recent surgeries in the abdominal Region or  other medical conditions?,"Are you currently taking any medications or supplements (eg. calcium supplements, iron ,blood pressure medication)",Have you experienced any unexplained weight loss?,NIL,,,,,
C280,Peptic Ulcer disease,All,FALSE,Burning sensation in upper abdomen ,Nausea and Vomiting ,Loss of appetite ,**Bloating or abdominal discomfort,Vomiting of blood or blood in stools,,Stomach ,duodenum ,Esophagus,Abdomen,NIL,,How long have you been experiencing the symptoms ,"When does the pain typically occur (e.g., after meals, at night)?",Have you noticed any changes in your appetite or weight loss?,Do certain foods or medications seem to worsen your symptoms?,Do you smoke tobacco or consume alcohol regularly?,Did you have such symptoms in the past ,Is the pain relieved by taking food or drinking milk or fluid?,Have you experienced any relief from antacids or acid-reducing medications like digene ,,,,,
C281,Colitis,All,FALSE,Diarrhea ,blood in stool,abdominal pain,Joint pain,weight loss,,Large intestine ,Abdomen ,NIL,NIL,NIL,,When did your symptoms begin,"Have you experienced changes in your bowel habits, such as increased frequency or urgency?",Do you feel the need to pass stools even after using the toilet (tenesmus)?,Have you experienced unexplained weight loss or decreased appetite?,Have you recently taken antibiotics eg Azithromycin amoxicillin cefixime,Has there been any change in type of food you eat,Have you traveled recently or been in contact with anyone who has had similar symptoms?,Do you have noticed any skin rashes or pain in the eyes.,,,,,
C282,Pyelonephritis,All,FALSE,Pain in the abdomen or back,Painful urination ,increased frequency of urination ,Fever and chills,Nausea and Vomiting ,,Kidney,Abdomen ,NIL,NIL,NIL,,When did your symptoms begin,Do you experience pain or discomfort when urinating?,Do you have a history of urinary  infections or kidney stones?,Have you recently undergone any procedures or surgery involving the urinary tract?,Do you a have a  disease like diabetes or a kidney disease?,Have you traveled recently?,Have you noticed any changes in your urinary habits,NIL,,,,,
C283,1)Giardiasis,All,FALSE,Loose Stools ,Foul Smelling Stool,Abdominal Pain,Excessive Gas,Weight Loss,,Small Intestine ,Abdomen,NIL,NIL,NIL,,"Have you experienced diarrhea, and if so, how long has it been present?","Is the diarrhea watery, and does it have a foul smell?",Have you been in contact with anyone who has had similar symptoms?,"Have you recently consumed untreated water from lakes, rivers, or streams?",Have you had any recent exposure to animals ?,"Have you tried any over-the-counter medications or home remedies for your symptoms, and have they provided any relief?","Have you traveled recently, especially to areas with poor sanitation or untreated water sources?",NIL,,,,,
C284,2)Amoebiasis,All,FALSE,Loose Stools ,Blood or mucus in Stools,Abdominal Pain,Weight Loss ,Cough,,Intestines,Abdomen,Liver,NIL,NIL,,When did yours symptoms start?,"Have you had any abdominal pain , particularly in the lower abdomen?",Do you have a fever or have you experienced chills?,Have you noticed any changes in your appetite or unintended weight loss?,Do you feel general sense of weakness?,Have you recently traveled to or lived in an area with poor sanitation?,Have you consumed untreated water or eaten street food?,Did you have any previous episodes of such symptoms?,,,,,
C285,3)Ascariasis,All,FALSE,Stomach Pain(Abdomen),Nausea and Vomiting ,Worms in Stool,Worms through mouth or nose,Weight Loss,,Small Intestine ,Abdomen,Bile Duct,Pancreas,NIL,,When did your symptoms start?,Have you noticed any worms in your stool or vomit?,Have you traveled to or lived in regions with poor sanitation or hygiene (Slum )?,Have you consumed raw or undercooked vegetables or unclean water?,"Have you experienced any changes in bowel habits, such as diarrhea or constipation?",Do you have a history of passing worms in stool or mouth?,Have noticed any symptoms like inability to pass gas?,Have you experienced any unintentional weight loss ,,,,,
C286,4)Enterobiasis,All,FALSE,Itching around Anus,Visible worms or eggs around Anus ,Disturbed sleep ,Mood changes,Decreased Hunger,,Perianal Area ,Large Intestine ,Anal region,NIL,NIL,,When did your symptoms start?,"Have you noticed any visible worms or white, thread-like structures in your stool or around the anus?","Do you have any symptoms of disturbed sleep or restlessness, especially at night?",Have you experienced irritability or mood changes?,Have you recently traveled or been in close contact with someone who had similar symptoms?,"Have you practiced good hygiene measures, such as washing hands regularly and keeping nails short?",Have you seen similar symptoms in other family members or close contacts?,"Do you have any pets at home, and have they been treated for parasites?",,,,,
C287,Intestinal Perforation,All,FALSE,Sudden and severe abdominal pain.,stretching of abdomen ,Nausea and Vomiting ,Fever and chills ,Pain on touching the abdomen ,,Abdomen,large intestine ,small intestine ,NIL ,NIL,,When did your pain start?,Is the pain constant or does it come and go?,"Do you have any associated symptoms such as nausea, vomiting, or fever?",Have you noticed any changes in bowel habits or passing gas?,Have you undergone any recent abdominal surgeries or procedures?,Are you suffering from any long term disease?,Have you had any previous episodes of abdominal pain or such symptoms ,Have you had any recent injury to the abdomen(stomach region)?,,,,,
C288,Pediatric Otitis Media,All,FALSE,Constant crying ,Pulling at Ear,Discharge coming out of ear,Fever,Irritable,,Middle Ear,Tympanic Membrane ,Head,NIL,NIL,,When did the child start experiencing such symptoms?,Has your child had any recent runny nose or cold symptoms?,Have you noticed any difficulty while feeding your child?,Has there been any discharge or fluid draining from the ear?,Does your child attend daycare or plays with other children,Has your child had previous episodes such problems,Does the child respond towards sound?,Is the child able to crawl or walk properly?,,,,,
C289,Otitis Media in Adults,All,FALSE,Ear Pain,Hearing Difficulty,Fluid Drainage from ear,Headache,Fever,,Middle Ear,Tympanic Membrane ,Head,NIL,NIL,,When did your symptoms start?,Have you experienced any ear pain or discomfort?,Have you had any fluid coming out from the ear?,Have you had any recent runny nose or cold?,Have you experienced any sensation of spinning in the head ?,Do you have any ear problems in the past.,"Are you able to maintain balance while walking, standing , etc?",NIL,,,,,
C290,Trigeminal Neuralgia,All,FALSE,Severe pain in the face,Pain on slight touch or movement,Sudden Pain in the face,NIL,NIL,,Face,Trigeminal Nerve,NIL,NIL,NIL,,How long have you been experiencing these episodes of pain?,"Can you describe the type of pain you are experiencing? (e.g., stabbing, electric shock-like)","Do you have any other symptoms accompanying the pain, such as numbness or tingling?+","Does anything provide relief from the pain, even temporarily?",Are you afraid of performing daily activities due to fear that it may cause pain.,Do you have  history of an recent injury that may be contributing to the pain?,Do you have any underlying medical conditions or history of facial trauma that may be contributing to the pain?,Is the pain localized to specific areas of the face?,,,,,
C291,Cholesteatoma,All,FALSE,Changes in hearing,Fluid Drainage from ear,Ear Pain,Fullness or pressure in ear,NIL,,Middle Ear,Mastoid Bone,Head,NIL,NIL,,When did your symptoms start?,"Have you experienced any changes in hearing, such as hearing loss or ringing in the ears?",Have you ever felt dizzy or like the room is spinning,Does your ear feel full or under pressure?,Have you ever had surgery or any injuries to your ear?,Do you notice any weakness or numbness in your face?,"Does anything make your symptoms better or worse, like certain positions or pressure?",NIL,,,,,
C292,Meniere's Disease,All,FALSE,Spinning sensation,Hearing Difficulty,Fullness or pressure in ear,Sweating,NIL,,Inner Ear,Cochlea,Head,NIL,NIL,,When did your symptoms start?,"Have you noticed any changes in your hearing, like ringing sounds or hearing loss",Do you ever feel like Vomiting or actually  vomit during these episodes?,How often do these episodes occur?,Have you had any recent head injuries?,How often do these episodes occur?,Have you noticed any actions that lead to these symptoms?,NIL,,,,,
C293,Parotitis,All,FALSE,Swelling  in front of ear,Pain in the cheek,Difficulty Chewing or Swallowing,Fever/Chills,Redness/warmth around cheek.,,Parotid Gland,Cheek,Face,NIL,NIL,,When did your symptoms start?,Do you feel pain or tenderness in the swollen area?,"Is the swollen area red, warm, or draining pus?",Have you had any recent dental work or surgery near your mouth?,Have you been in close contact with anyone who has had similar symptoms?,Have you experienced fever or chills?,Have you travelled recently or been in contact with someone sick?,Have you had any previous episodes of pain in the area?,,,,,
C294,Varicella Zoster(chickenpox),All,FALSE,"Rash: Small, Itchy red spots",Fever,Weakness,Itching,Headache,,Skin,Arms,Legs,NIL,NIL,,When did your symptoms start?,Do the spots on skin have itching?,Do you feel tired or fatigued?,Have you had any headaches?,Have you been in contact with anyone who has chickenpox ?,Have you received the chickenpox vaccine in the past?,Have you traveled recently to areas where chickenpox is common?,NIL,,,,,
C295,Herpes Zoster (shingles),All,FALSE,Burning Pain,Rash:one side of body,Itching,Fever,Numbness in the affected area,,Skin,Chest,Abdomen,Face,NIL,,Have you noticed any red spots or blisters on one side of your body?,Do you feel a burning or shooting pain in the same area as the rash?,Have you had a fever recently?,Do you feel tired or fatigued?,Have you been in contact with anyone who had similar symptoms?,Have you had chickenpox in the past?,NIL,NIL,,,,,
C296,Dehydration in children,All,FALSE,Excessive Thirst ,Dry mouth and Tongue.,Less Urine ,Weakness,NIL,,Mouth,Skin,Eyes,NIL,NIL,,When did you start noticing these symptoms?,Is your child drinking less than usual?,"Have you noticed any signs of dehydration, such as dry mouth, reduced tears, or sunken eyes?",Is your child unusually tired or irritable?,Has your child had any vomiting or diarrhea recently?,Has your child been eating or drinking normally?,How many wet diapers or trips to the bathroom has your child had in the past 24 hours?,Has your child had any recent illnesses or exposures to hot weather?,,,,,
C297,Dehydration in adults,All,FALSE,Excessive Thirst,Dry mouth and Tongue.,Less Urine ,Weakness,Lightheadedness,,Mouth,Skin,Eyes,NIL,NIL,,When did you start noticing these symptoms?,Have you noticed your mouth feeling dry or sticky?,Have you experienced dizziness or lightheadedness?,"Have you noticed changes in your urine, such as it being darker than usual or urinating less frequently?",Have you been drinking less water than usual?,Have you had any recent vomiting or diarrhea?,"Are you experiencing any other symptoms, such as fever or abdominal pain?",Have you been exposed to hot weather or engaged in strenuous physical activity?,,,,,
C298,parasomnia in children,All,FALSE,sleepwalking,episodes of waking up in the night panicking or screaming,Severe confusion and disorientation upon waking,Talking or eating while asleep,"Repetitive movements during sleep, such as head banging",,all,NIL,NIL,NIL,NIL,,"Does your child have difficulty breathing during sleep, or do they snore loudly?","Has your child experienced any recent stress, changes in routine, or emotional disturbances?",Are there any signs of daytime sleepiness or behavioral changes that might suggest a lack of restful sleep?,While experiencing an episode are they responsive or difficult to awaken?,Does your child have wake up really disoriented/ confused upon being woken up during these episodes,"Do you have a family history of sleep disorders, including parasomnias?",NIL,NIL,,,,,
C299,Congenital cataract,All,FALSE,Cloudiness appearance in child's eye,Child being overly sensitive to light,Child having trouble reading ,Unusual eye movements in child's eye,Child not responding to hand signals as expected ,,Eyes,NIL,NIL,NIL,NIL,,Is your child meeting their developmental milestones? I.e are they able to do everything that other kids of their age are doing ,Is there a history of cataracts or other eye conditions in the family?,Does your child track or follow objects with their eyes?,"Have you noticed any repetitive, uncontrolled eye movements?",Does your child seem to be visibly uncomfortable in bright light?,Were there any complications during pregnancy or at the time of birth?,NIL,NIL,,,,,
C300,Viral Conjunctivitis,All,FALSE,Red eyes,Itchy eyes,Watery discharge,Light sensitivity(Photophobia),Sensation of a foreign body in the eye,,White part of the eye ,NIL,NIL,NIL,NIL,,"Have you been in close contact with someone who has red, itchy eyes?", Is there a history of similar episodes in the past?,Do you have a recent upper respiratory tract infection or cold?,What is the colour and smell of the discharge?,Do you have any known allergies?,Have you used any new cosmetic or eye products recently?,Do you wear contact lenses?,NIL,,,,,
C301,Vertigo,All,FALSE, Sensation of spinning or movement,Nausea /vomiting,Balance problems,Abnormal eye movements (Nystagmus),Hearing loss or Ringing sound (Tinnitus) ,,Inner ear (Peripheral vertigo),CNS (Central vertigo),NIL,NIL,NIL,,"Does the vertigo occur suddenly and last for a short duration, or is it continuous?",Is the vertigo triggered by changes in position or movement?,Did you have fever recently?,Have you had any recent head injury?,"Do you experience any neurological symptoms (e.g., weakness, trouble speaking, altered consciousness)?",Are you currently taking any medications?, Do you have a history of migraines?,NIL,,,,,
C302,Septic Shock,All,FALSE,Rapid breathing,Rapid heart rate,Fever,Altered mental status,Feeling cold,,circulatory system,Respiratory system,Gastrointestinal system,Central nervous system,Urinary system,,Are you experiencing rapid breathing or difficulty catching your breath?,Have you noticed a sudden decrease in urine output?,"Have you had any recent infections, wounds, or illnesses?","Did you experience any nausea, vomiting, diarrhea, or signs of dehydration before these symptoms started?",Have you taken any new medications or been exposed to allergens?,Did the symptoms follow a traumatic event that lead to a lot of blood loss or spinal injury?,"Are you experiencing chest pain, palpitations, or cold/ clammy skin?",NIL,,,,,
C303,Bacterial Conjunctivitis,All,FALSE,Red eyes,"Sticky, yellow or greenish discharge",Eyelids stuck together in the morning,Gritty feeling in the eye,Blurred vision (Improves upon blinking),,White part of the eye ,Inner Eyelids,NIL,NIL,NIL,,"Have you been in close contact with someone who has red, itchy eyes?", Is there a history of similar episodes in the past?,Do you have a recent upper respiratory tract infection or cold?,What is the colour and smell of the discharge?,Do you have any known allergies?,Have you used any new cosmetic or eye products recently?,Do you wear contact lenses?,NIL,,,,,
C304,TIA,All,FALSE,"Sudden trouble walking, dizziness, loss of balance, or lack of coordination","Sudden weakness or numbness in the face, arm, or leg, especially on one side of the body",Sudden confusion or trouble speaking or understanding speech,Sudden trouble seeing in one or both eyes,Sudden severe headache with no known cause,,Brain (affected by temporary lack of blood flow),Carotid arteries (potential source of emboli leading to TIA),Heart (atrial fibrillation and other conditions can lead to TIA),NIL,NIL,,How quickly did the symptoms appear and how long did they last?,Have you experienced similar symptoms before?,"Do you have any risk factors for stroke, such as hypertension, diabetes, high cholesterol, or smoking?","Have you recently experienced any sudden changes in vision or speech, weakness or numbness in any part of your body?","Are you currently taking any medications, particularly for blood thinning or clot prevention?","Have you had any recent surgeries or procedures, especially involving the heart or blood vessels?",Any history of migraine?,NIL,,,,,
C305,Myopia,All,FALSE,Squinting or partially closing the eyelids to see clearly,Blurred vision when looking at distant objects,Headaches due to eyestrain,Feeling of eye strain when trying to view objects at a distance,,, Eyes,NIL,NIL,NIL,NIL,,How long have you noticed difficulty seeing distant objects clearly?,Do you find yourself squinting or needing to get closer to see things clearly?,Is there a family history of myopia?,"Have you experienced any visual disturbances, such as double vision, that cannot be corrected by squinting?",Do you currently use any corrective lenses,NIL,NIL,NIL,,,,,
C306,Hypermetropia ,All,FALSE,Difficulty focusing on close objects,Eye strain or discomfort during tasks like reading,Headaches after prolonged periods of close work,Needing to hold reading material farther away to see it clearly,Blurred vision when changing focus from distant to close objects,,Eyes,NIL,NIL,NIL,NIL,,Do you experience difficulty focusing on close objects or performing tasks that require seeing details up close?,Do you get headaches or feel eye strain after reading or using computer?,Is there a family history of hypermetropia or other refractive errors?,"How often do you engage in near work activities, and do you take regular breaks?",Do you currently use any corrective lenses for close work or reading?,NIL,NIL,NIL,,,,,
C307,Influenza (Flu),All,FALSE,Fever,Cough ,Sore throat ,Runny or stuffy nose,Body ache,,Respiratory system ,Whole body- pain and fever #systemic,NIL,NIL,NIL,,"Have you experienced any sudden of fever, chills, or severe fatigue",Do you have a cough or sore throat?,"Are you experiencing muscle aches, headaches, or severe weakness?",Have you had close contact with someone diagnosed with the flu or exhibiting flu-like symptoms?,"Do you belong to a high-risk group for flu complications (e.g., young children, elderly, pregnant individuals, those with chronic health conditions)?",Have you received a flu vaccine recently,Are you experiencing shortness of breath or difficulty breathing?,NIL,,,,,
C308,Acute sinusitis ,All,FALSE,Difficulty in breathing because of Nose block,Yellow or green mucus from the nose,"Pain around the eyebrows,cheeks and forehead ",Reduced sense of smell and taste,Cough ,,Nasal passage,"Behind face (frontal, maxillary, ethmoid, and sphenoid sinuses)",NIL,NIL,NIL,,"How long have you been experiencing symptoms, and did they appear during or after a cold or flu?","Do you have any allergies, and have you been exposed to any allergens recently?",Have you noticed any changes in your ability to smell or taste?,"Do you have any pain or pressure in your face, especially when bending forward?","Have you tried any over-the-counter medications, and if so, have they provided relief?",Do you have a history of sinusitis or other chronic nasal or sinus conditions?,"Are you experiencing any additional symptoms such as, dental pain, or ear pain?",NIL,,,,,
C309,Chronic sinusitis ,All,FALSE,Difficulty in breathing because of Nose block,Yellow or green mucus from the nose ,"Pain around the eyebrows,cheeks and forehead ",Reduced sense of smell and taste,Cough ,,Nasal passage,"Behind face (frontal, maxillary, ethmoid, and sphenoid sinuses)",NIL,NIL,NIL,,"How long have you been experiencing these symptoms, and have they persisted or worsened over time?","Have you had any previous episodes of sinusitis, and how were they managed?","Have you been treated with antibiotics, nasal corticosteroids, or saline irrigation, and what was the outcome?",Have you noticed any triggers or factors that seem to worsen your symptoms?,Do you experience frequent headaches or facial pain?,"Do you have a history of migraine or been diagnosed with asthma, nasal polyps, or other respiratory conditions?","Are you experiencing any additional symptoms such as, dental pain, or ear pain?",NIL,,,,,
C310,Pharyngitis ,All,FALSE,Sore throat or pain when swallowing,Red swelling behind neck sometimes with white patches ,Swelling and tenderness at the junction of head and neck,"Headache, bodyache",Fever,,Throat ,Tonsils,NIL,NIL,NIL,,How long have you been experiencing sore throat symptoms?,Do you have difficulty swallowing or does it feel painful to swallow?,"Are there any visible changes to the back of your throat, such as redness, white patches, or swelling","Do you have a cough, runny nose?",What is the colour of your sputum in the morning # if green yellow bacterial infection if greyish white indicates viral infection or allergic etiology,Do you have a history of recurrent sore throat or tonsillitis?,Are you experiencing sore throat or a swelling in neck or someplace else even after having antibiotics? #indicative of mononucleosis ,NIL,,,,,
C311,Laryngitis ,All,FALSE,Hoarseness of voice,Difficulty in speaking loudly and in severe cases difficulty in speaking normally ,Sore throat ,Dry cough ,Constant urge to clear throat ,,Voice box #larynx,Vocal cords ,NIL,NIL,NIL,,Have you been experiencing hoarseness or voice changes?,"Were these symptoms preceded by a cold, flu, or excessive voice use (e.g., shouting, singing)?",Do you have a history of smoking or alcohol use,Is there any history of throat problems or surgeries in the past?,Do you experience symptoms of acidity often?,NIL,NIL,NIL,,,,,
C313,Gestational diabetes ,All,FALSE,Unusual thirst and frequent urination,Increased hunger,"Recurrent infections, such as urinary tract infections",Increased fatigue ,Recent skin pigmentation especially if behind the neck #acanthosis nigricans due to insulin resistance ,,Urinary system,Skin,Entire body (due to systemic nature of diabetes),NIL,NIL,,Have you experienced gestational diabetes in a previous pregnancy?,Is there a family history of Type 2 diabetes?,What has been your weight gain during pregnancy?,NIL,Were any of your previous babies born with a high birth weight (over 9 pounds)?,Have you experienced any complications or abnormalities in this or previous pregnancies?,Have you observed a new skin pigmentation recently? #recent skin pigmentation indicates recent development of insulin resistance ,NIL,,,,,
C314,Diabetic neuropathy ,All,FALSE,Numbness or tingling in extremities,Pain or cramps in the legs,Muscle weakness in the hands or feet,Urinary retention or incontinence,Dizziness after standing up quickly ,,Hands and feet #Peripheral nerves,NIL,"Autonomic nervous system (impacting heart rate, digestion, sweating)",Entire body (due to systemic nature of diabetes),NIL,,Have you noticed numbness or tingling in your hands or feet?,Do you experience sharp pains or cramps in your legs?,Do you feel weakness in your hands or feet?,Do you feel dizzy when standing up quickly?,Do you have trouble sensing when your bladder is full?,Have you noticed unusual sweating patterns?,Have you experienced unexplained weight loss or digestion issues?,NIL,,,,,
C315,Diabetic Foot,All,FALSE,Visible foot ulcers or sores that do not heal,Changes in the color and temperature of the feet,Swelling in the feet or ankles,Pain or discomfort in the legs or feet,Numbness or tingling in the feet,,,"Lower extremities, particularly feet",Blood vessels ,NIL,NIL,,Have you experienced any loss of sensation or tingling in your feet?,Do you have any foot deformities or require special footwear?,Have you had any previous foot ulcers or infections?,Do your feet feel consistently colder compared to the rest of your body?,Have you observed a change in the colour of your feet especially your toes?,Have you noticed any changes in the shape of your feet or toes?,"Do you maintain proper hygiene and care for your feet, toes and specifically toe nails?",NIL,,,,,
C316,Non diabetic hypoglycemia ,All,FALSE,Feeling shaky or jittery,Sweating excessively without physical exertion,Experiencing palpitations,Feeling extremely hungry,"Confusion, blurred vision and feeling faint",,Whole body,Hand and feet ,Chest #palpation,NIL,NIL,,Do you experience these symptoms more often during fasting or after meals?,Do your symptoms get better after eating or drinking something like a fruit juice?,"Do you take any medications, including over-the-counter (like beta blockers or SSRIs) or herbal supplements?",How often do you consume alcohol?,Do you experience these symptoms usually within 12 hours of having alcohol?,"Have you had any recent surgeries, particularly involving the stomach or intestines?",Have you been diagnosed with diabetes?,NIL,,,,,
C317,Glaucoma ,All,FALSE,Gradual loss of peripheral vision,Tunnel vision in the advanced stages,Episodes of eye pain,Blurred vision ,Red eyes,,Eyes ,NIL,NIL,NIL,NIL,,Have you noticed any changes or difficulties with your peripheral vision?,Do you have a family history of glaucoma?,Do you use any corticosteroid medications?,Have you had any previous eye injuries or surgeries?,Do you suffer from other health conditions like diabetes or high blood pressure?,Have you noticed any difficulty adjusting to dark rooms or stumbling over objects on the ground,NIL,NIL,,,,,
C318,Age related cataract ,All,FALSE,Gradual decrease in vision clarity #cloudy vision ,Increased difficulty seeing in low light or at night,Sensitivity to light and glare,Need for more light when reading or other similar work,Seeing blurring around light sources #halos around lights,,Eyes,NIL,NIL,NIL,NIL,,Are you experiencing blurred or cloudy vision?,Have you noticed a gradual worsening of your symptoms over time?,Have you had to change your reading habits or require more light to read?,Have you experienced any double vision,Do you find it more difficult to see in dim lighting or at night?,"Is there a family history of cataracts, or do you have any health conditions like diabetes?",Have you been exposed to factors like smoking or prolonged sunlight without eye protection?,NIL,,,,,
C319,Secondary cataract ,All,FALSE,Seeing blurring around light sources #halos around lights,"Decreased visual acuity, not corrected by glasses",sensation of looking through a veil or curtain,Need for more light when reading or other similar work,Gradual decrease in vision clarity #cloudy vision ,,Eyes,NIL,NIL,NIL,NIL,,Are you experiencing blurred or cloudy vision?,Are you experiencing increased sensitivity to bright lights or glare?,"Do you have diabetes, uveitis, or other systemic conditions?",Have you undergone eye surgery in either eye?,Have you noticed a decline in your vision quality even after your cataract surgery?,Do you have trouble seeing things that are not directly in front of you?,Are you currently taking or have take steroid medication in past?,NIL,,,,,
C320,Traumatic cataract ,All,FALSE,Gradual decrease in vision clarity #cloudy vision ,Sensitivity to light and glare,"Decreased visual acuity, not corrected by glasses",sensation of looking through a veil or curtain,Changes in the perception of colors,,Eyes,NIL,NIL,NIL,NIL,,Are you experiencing blurred or cloudy vision?,Are you experiencing increased sensitivity to bright lights or glare?,Have you been suffered an injury to your eye recently?,Have you suffered any other eye injuries or conditions in the past?,Have you undergone eye surgery in either eye?,Did you experience immediate changes in vision following the injury/ eye surgery,NIL,NIL,,,,,
C321,Acute radiation cataract,All,FALSE,noticeably recent decrease in vision clarity #cloudy vision ,Sensitivity to light and glare,"Decreased visual acuity, not corrected by glasses",sensation of looking through a veil or curtain,Changes in the perception of colors,,Eyes,NIL,NIL,NIL,NIL,,Are you experiencing blurred or cloudy vision?,Are you experiencing increased sensitivity to bright lights or glare?,Have you noticed a worsening of your symptoms in the recent few months?,"Have you recently received any radiation treatment, particularly targeting the head, neck or chest?",Does your occupation involve work with or in close proximity to ionising radiation?,How long after the potential exposure did you start noticing changes in your vision?,NIL,NIL,,,,,
